Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CBL Merchandising Data Verification,,,2019-03-27 15:27:34,2019-03-27 15:30:51,3m - 16.526s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-03-27 15:27:35,2019-03-27 15:27:59,24.727s,PASSED
"startApplication(""F:\QA_Automation\Builds\cbl_live_v1_130319.apk"", false)",,launch application,2019-03-27 15:27:36,2019-03-27 15:27:54,18.822s,PASSED
delay(5),,delay of 5 seconds,2019-03-27 15:27:54,2019-03-27 15:27:59,5.041s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2019-03-27 15:27:59,2019-03-27 15:30:51,2m - 51.344s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-03-27 15:28:00,2019-03-27 15:28:08,8.560s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-03-27 15:28:08,2019-03-27 15:28:11,2.502s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-03-27 15:28:11,2019-03-27 15:28:12,1.289s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-03-27 15:28:12,2019-03-27 15:28:15,2.579s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,2019-03-27 15:28:15,2019-03-27 15:30:51,2m - 36.082s,PASSED
